"X","f1","f2","f3","f4","f5","f6","f7","f8","f9","f10","f11","f12","f13","f14","f15","f16","f17","f18","f19","f20","f21","f22","f23","f24","f25","f26","f27","f28","Class"
5,-0.368421,-0.925907,-0.322464,-0.253095,0.1887,2.45237,-0.66647,-0.356817,0.516326,-0.937519,0.977062,1.06115,-1.73954,-0.603581,-0.392383,0.798392,-0.367334,-0.387882,-0.318976,-0.342965,-0.315409,-0.244539,-0.401053,-0.579818,-0.500316,-0.299039,0.0117143,-0.946807,"0"
18,-1.65624,1.36719,-0.31187,-0.253095,-1.24129,-0.43686,0.192634,3.48888,0.516326,1.06115,0.977062,1.06115,0.571902,1.64824,2.5354,0.209464,1.79214,-0.387882,-0.318976,-0.342965,-0.315409,-0.244539,-0.401053,1.71579,1.98843,3.32681,-1.12457,-0.946807,"1"
19,0.275486,-0.925907,-0.270413,-0.220463,-0.669296,-0.43686,-0.66647,-1.12596,0.516326,1.06115,-1.0182,-0.937519,-1.73954,-0.603581,-0.392383,-0.379464,-0.367334,-0.387882,-0.318976,-0.342965,-0.0879394,-0.244539,-0.401053,-0.579818,-0.500316,-0.299039,-0.556429,-0.322043,"5"
20,-1.65624,1.36719,-0.322464,-0.253095,-1.24129,-0.43686,-0.66647,1.9506,0.516326,1.06115,0.977062,1.06115,0.571902,1.64824,-0.392383,-0.968392,1.79214,2.20691,3.11887,1.95135,-0.315409,-0.244539,-0.401053,1.71579,1.98843,-0.299039,1.148,-0.946807,"1"
23,0.275486,-0.161541,-0.0460846,-0.242217,1.3327,-0.43686,1.48129,-0.356817,-1.92678,-0.937519,0.977062,-0.937519,0.571902,1.64824,-0.392383,0.209464,-0.367334,-0.387882,-0.318976,-0.342965,-0.315409,-0.244539,-0.401053,-0.579818,-0.500316,-0.299039,0.0117143,0.302721,"5"
27,-0.368421,-0.925907,-0.271334,-0.155199,-0.0972986,-0.43686,0.622187,1.18146,0.516326,1.06115,0.977062,1.06115,0.571902,-0.603581,-0.392383,-0.968392,-0.367334,-0.387882,-0.318976,-0.342965,-0.0879394,-0.244539,-0.401053,1.71579,1.98843,-0.299039,1.148,-0.946807,"6"
28,0.275486,1.36719,-0.196251,-0.176953,-0.669296,-0.43686,0.192634,-0.356817,0.516326,1.06115,-1.0182,1.06115,-1.73954,-0.603581,-0.392383,-0.968392,-0.367334,-0.387882,-0.318976,-0.342965,-0.0879394,-0.244539,-0.401053,-0.579818,-0.500316,-0.299039,-1.12457,-0.322043,"5"
33,0.275486,1.36719,-0.320622,-0.253095,0.1887,0.526217,0.192634,1.18146,0.516326,1.06115,-1.0182,1.06115,-1.73954,1.64824,2.5354,0.798392,-0.367334,-0.387882,-0.318976,-0.342965,-0.0879394,-0.244539,-0.401053,-0.579818,1.98843,-0.299039,-1.12457,-0.322043,"0"
35,0.275486,-0.925907,-0.0354901,-0.23134,1.3327,0.526217,-0.66647,1.18146,0.516326,1.06115,0.977062,1.06115,0.571902,-0.603581,-0.392383,0.798392,-0.367334,-0.387882,-0.318976,-0.342965,-0.0879394,-0.244539,-0.401053,-0.579818,-0.500316,-0.299039,0.0117143,0.927484,"5"
40,0.275486,-0.161541,-0.321543,-0.253095,-0.669296,-0.43686,-0.66647,-1.12596,-1.92678,1.06115,-1.0182,-0.937519,0.571902,-0.603581,-0.392383,-0.379464,-0.367334,-0.387882,-0.318976,-0.342965,0.59447,4.06824,-0.401053,-0.579818,-0.500316,-0.299039,-0.556429,-0.322043,"2"
41,0.275486,-0.161541,-0.164928,-0.23134,1.3327,-0.43686,-0.66647,-0.356817,0.516326,1.06115,-1.0182,1.06115,-1.73954,-0.603581,-0.392383,-0.968392,-0.367334,-0.387882,-0.318976,-0.342965,-0.0879394,-0.244539,-0.401053,1.71579,1.98843,-0.299039,-1.12457,-0.946807,"5"
46,-0.368421,-0.925907,-0.263503,-0.0899344,-0.0972986,-0.43686,-0.66647,-0.356817,0.516326,-0.937519,0.977062,-0.937519,0.571902,-0.603581,-0.392383,1.38732,-0.367334,-0.387882,-0.318976,-0.342965,-0.315409,-0.244539,2.48059,-0.579818,-0.500316,-0.299039,1.148,-0.946807,"6"
49,-1.65624,1.36719,-0.322464,-0.253095,-1.24129,-0.43686,-0.66647,1.9506,0.516326,1.06115,0.977062,1.06115,0.571902,1.64824,-0.392383,-0.379464,1.79214,-0.387882,-0.318976,-0.342965,1.95929,-0.244539,-0.401053,-0.579818,1.98843,-0.299039,-0.556429,-0.322043,"1"
50,-1.65624,1.36719,-0.299893,-0.187831,-0.955295,-0.43686,-0.66647,-0.356817,0.516326,-0.937519,0.977062,-0.937519,0.571902,-0.603581,-0.392383,0.209464,-0.367334,2.20691,-0.318976,-0.342965,-0.315409,-0.244539,-0.401053,-0.579818,-0.500316,-0.299039,0.0117143,0.302721,"0"
52,0.275486,-0.925907,0.138629,0.258141,0.760698,-0.43686,0.622187,0.412322,0.516326,-0.937519,-1.0182,1.06115,0.571902,1.64824,-0.392383,1.97625,-0.367334,-0.387882,-0.318976,-0.342965,-0.315409,-0.244539,-0.401053,-0.579818,1.98843,3.32681,-1.12457,2.17701,"2"
53,-1.65624,1.36719,-0.312791,-0.198708,-0.955295,-0.43686,0.622187,-1.12596,-1.92678,-0.937519,0.977062,-0.937519,0.571902,-0.603581,-0.392383,0.209464,-0.367334,-0.387882,-0.318976,-0.342965,-0.315409,-0.244539,-0.401053,-0.579818,-0.500316,-0.299039,0.0117143,0.302721,"0"
55,0.275486,-0.925907,0.240429,0.0841033,1.3327,-0.43686,0.622187,-0.356817,0.516326,1.06115,-1.0182,1.06115,-1.73954,-0.603581,-0.392383,-0.379464,-0.367334,-0.387882,-0.318976,-0.342965,-0.315409,-0.244539,-0.401053,-0.579818,-0.500316,-0.299039,-0.556429,-0.946807,"1"
56,-0.368421,1.36719,-0.322003,-0.253095,0.1887,-0.43686,-0.66647,-0.356817,0.516326,-0.937519,0.977062,-0.937519,0.571902,-0.603581,-0.392383,1.38732,-0.367334,2.20691,-0.318976,-0.342965,-0.315409,-0.244539,-0.401053,-0.579818,-0.500316,-0.299039,1.148,1.55225,"1"
85,0.919394,-0.925907,-0.122089,-0.100812,0.760698,-0.43686,0.622187,0.412322,0.516326,1.06115,-1.0182,-0.937519,0.571902,1.64824,-0.392383,-0.968392,-0.367334,-0.387882,-0.318976,-0.342965,0.367,-0.244539,-0.401053,-0.579818,-0.500316,-0.299039,-1.12457,2.17701,"2"
92,0.919394,-0.925907,-0.277322,-0.23134,0.760698,-0.43686,0.622187,0.412322,0.516326,1.06115,-1.0182,-0.937519,0.571902,1.64824,-0.392383,1.97625,-0.367334,-0.387882,-0.318976,-0.342965,-0.0879394,-0.244539,2.48059,-0.579818,-0.500316,-0.299039,1.71614,-0.322043,"2"
95,1.5633,-0.925907,-0.322464,-0.253095,-1.24129,-0.43686,-0.66647,0.412322,0.516326,-0.937519,0.977062,1.06115,0.571902,-0.603581,-0.392383,-0.968392,-0.367334,-0.387882,-0.318976,-0.342965,-0.0879394,-0.244539,-0.401053,1.71579,1.98843,-0.299039,-1.12457,0.302721,"1"
98,0.919394,-0.925907,-0.317858,-0.220463,0.760698,-0.43686,0.192634,0.412322,0.516326,1.06115,-1.0182,-0.937519,0.571902,-0.603581,2.5354,-0.968392,-0.367334,-0.387882,-0.318976,-0.342965,-0.315409,-0.244539,-0.401053,-0.579818,1.98843,-0.299039,-1.12457,-0.946807,"2"
102,-0.368421,-0.925907,-0.322464,-0.253095,-0.383298,-0.43686,0.192634,-0.356817,0.516326,-0.937519,0.977062,1.06115,-1.73954,-0.603581,-0.392383,-0.968392,-0.367334,-0.387882,-0.318976,-0.342965,-0.315409,-0.244539,-0.401053,1.71579,-0.500316,-0.299039,0.0117143,-0.946807,"0"
105,0.275486,-0.161541,-0.268109,-0.187831,1.3327,-0.43686,0.622187,-0.356817,0.516326,1.06115,-1.0182,-0.937519,-1.73954,1.64824,-0.392383,-0.968392,-0.367334,-0.387882,-0.318976,-0.342965,-0.0879394,-0.244539,-0.401053,-0.579818,-0.500316,-0.299039,1.71614,-0.322043,"5"
106,0.919394,-0.925907,-0.169074,-0.111689,1.3327,-0.43686,5.34726,0.412322,0.516326,-0.937519,0.977062,1.06115,0.571902,-0.603581,-0.392383,-0.968392,-0.367334,-0.387882,-0.318976,1.95135,-0.0879394,4.06824,-0.401053,-0.579818,-0.500316,-0.299039,0.0117143,1.55225,"2"
110,1.5633,-0.925907,-0.322464,-0.253095,1.3327,-0.43686,-0.66647,-0.356817,-1.92678,-0.937519,0.977062,-0.937519,0.571902,-0.603581,-0.392383,0.209464,-0.367334,-0.387882,-0.318976,-0.342965,-0.0879394,-0.244539,-0.401053,1.71579,-0.500316,-0.299039,0.0117143,0.302721,"1"
125,-1.65624,1.36719,-0.263503,-0.220463,-0.955295,-0.43686,0.622187,-1.12596,-1.92678,-0.937519,0.977062,-0.937519,0.571902,-0.603581,-0.392383,0.209464,-0.367334,-0.387882,-0.318976,-0.342965,-0.315409,-0.244539,-0.401053,-0.579818,-0.500316,-0.299039,0.0117143,0.302721,"0"
127,0.275486,-0.925907,0.103621,0.356037,1.3327,2.45237,-0.66647,-1.12596,-1.92678,1.06115,-1.0182,-0.937519,0.571902,-0.603581,-0.392383,-0.379464,-0.367334,-0.387882,-0.318976,-0.342965,-0.315409,-0.244539,-0.401053,-0.579818,-0.500316,-0.299039,-0.556429,-0.322043,"2"
136,-1.01233,0.602825,-0.134987,-0.220463,-0.955295,-0.43686,0.622187,1.9506,0.516326,1.06115,0.977062,1.06115,0.571902,1.64824,-0.392383,-0.968392,1.79214,-0.387882,-0.318976,-0.342965,-0.0879394,-0.244539,-0.401053,1.71579,1.98843,3.32681,-1.12457,0.302721,"0"
146,0.275486,-0.925907,-0.322464,-0.253095,0.1887,-0.43686,0.622187,0.412322,0.516326,1.06115,-1.0182,1.06115,-1.73954,1.64824,-0.392383,-0.379464,-0.367334,-0.387882,-0.318976,-0.342965,0.139531,-0.244539,2.48059,-0.579818,-0.500316,-0.299039,-0.556429,-0.322043,"0"
149,0.275486,-0.161541,-0.322464,-0.253095,-1.24129,-0.43686,-0.66647,-0.356817,0.516326,1.06115,-1.0182,-0.937519,0.571902,-0.603581,-0.392383,-0.968392,-0.367334,-0.387882,-0.318976,-0.342965,-0.315409,-0.244539,-0.401053,-0.579818,-0.500316,-0.299039,-1.12457,-0.322043,"1"
159,0.275486,0.602825,-0.322464,-0.253095,-1.24129,-0.43686,-0.66647,2.71974,0.516326,1.06115,0.977062,1.06115,0.571902,-0.603581,2.5354,0.209464,-0.367334,2.20691,3.11887,1.95135,-0.315409,-0.244539,-0.401053,1.71579,-0.500316,-0.299039,1.148,0.302721,"1"
164,-1.01233,1.36719,-0.293444,-0.253095,0.1887,-0.43686,1.48129,0.412322,0.516326,1.06115,-1.0182,1.06115,0.571902,-0.603581,-0.392383,-0.968392,-0.367334,-0.387882,-0.318976,-0.342965,-0.0879394,-0.244539,-0.401053,-0.579818,-0.500316,-0.299039,-0.556429,-0.322043,"1"
167,-0.368421,-0.925907,-0.303578,-0.187831,-0.383298,-0.43686,-0.66647,-1.12596,0.516326,-0.937519,-1.0182,-0.937519,0.571902,-0.603581,-0.392383,-0.968392,-0.367334,2.20691,-0.318976,-0.342965,-0.315409,-0.244539,-0.401053,-0.579818,-0.500316,-0.299039,-1.12457,-0.946807,"1"
176,0.919394,-0.925907,0.0372899,0.236386,1.0467,-0.43686,-0.66647,-1.12596,0.516326,-0.937519,-1.0182,-0.937519,0.571902,-0.603581,-0.392383,-0.968392,-0.367334,-0.387882,-0.318976,-0.342965,-0.0879394,4.06824,-0.401053,-0.579818,-0.500316,-0.299039,-1.12457,-0.946807,"2"
184,-1.65624,1.36719,3.99044,2.25957,-1.24129,-0.43686,4.91771,-0.356817,0.516326,-0.937519,0.977062,-0.937519,0.571902,-0.603581,-0.392383,1.38732,-0.367334,-0.387882,-0.318976,1.95135,11.0581,-0.244539,-0.401053,-0.579818,-0.500316,-0.299039,0.0117143,-0.946807,"1"
189,0.919394,-0.925907,-0.169074,0.399547,1.3327,-0.43686,-0.66647,-1.12596,0.516326,-0.937519,-1.0182,1.06115,-1.73954,-0.603581,-0.392383,-0.968392,-0.367334,-0.387882,-0.318976,-0.342965,-0.0879394,-0.244539,-0.401053,-0.579818,-0.500316,-0.299039,-1.12457,-0.946807,"6"
33,0.275486,1.36719,-0.320622,-0.253095,0.1887,0.526217,0.192634,1.18146,0.516326,1.06115,-1.0182,1.06115,-1.73954,1.64824,2.5354,0.798392,-0.367334,-0.387882,-0.318976,-0.342965,-0.0879394,-0.244539,-0.401053,-0.579818,1.98843,-0.299039,-1.12457,-0.322043,"0"
146,0.275486,-0.925907,-0.322464,-0.253095,0.1887,-0.43686,0.622187,0.412322,0.516326,1.06115,-1.0182,1.06115,-1.73954,1.64824,-0.392383,-0.379464,-0.367334,-0.387882,-0.318976,-0.342965,0.139531,-0.244539,2.48059,-0.579818,-0.500316,-0.299039,-0.556429,-0.322043,"0"
5,-0.368421,-0.925907,-0.322464,-0.253095,0.1887,2.45237,-0.66647,-0.356817,0.516326,-0.937519,0.977062,1.06115,-1.73954,-0.603581,-0.392383,0.798392,-0.367334,-0.387882,-0.318976,-0.342965,-0.315409,-0.244539,-0.401053,-0.579818,-0.500316,-0.299039,0.0117143,-0.946807,"0"
53,-1.65624,1.36719,-0.312791,-0.198708,-0.955295,-0.43686,0.622187,-1.12596,-1.92678,-0.937519,0.977062,-0.937519,0.571902,-0.603581,-0.392383,0.209464,-0.367334,-0.387882,-0.318976,-0.342965,-0.315409,-0.244539,-0.401053,-0.579818,-0.500316,-0.299039,0.0117143,0.302721,"0"
19,0.275486,-0.925907,-0.270413,-0.220463,-0.669296,-0.43686,-0.66647,-1.12596,0.516326,1.06115,-1.0182,-0.937519,-1.73954,-0.603581,-0.392383,-0.379464,-0.367334,-0.387882,-0.318976,-0.342965,-0.0879394,-0.244539,-0.401053,-0.579818,-0.500316,-0.299039,-0.556429,-0.322043,"5"
105,0.275486,-0.161541,-0.268109,-0.187831,1.3327,-0.43686,0.622187,-0.356817,0.516326,1.06115,-1.0182,-0.937519,-1.73954,1.64824,-0.392383,-0.968392,-0.367334,-0.387882,-0.318976,-0.342965,-0.0879394,-0.244539,-0.401053,-0.579818,-0.500316,-0.299039,1.71614,-0.322043,"5"
35,0.275486,-0.925907,-0.0354901,-0.23134,1.3327,0.526217,-0.66647,1.18146,0.516326,1.06115,0.977062,1.06115,0.571902,-0.603581,-0.392383,0.798392,-0.367334,-0.387882,-0.318976,-0.342965,-0.0879394,-0.244539,-0.401053,-0.579818,-0.500316,-0.299039,0.0117143,0.927484,"5"
23,0.275486,-0.161541,-0.0460846,-0.242217,1.3327,-0.43686,1.48129,-0.356817,-1.92678,-0.937519,0.977062,-0.937519,0.571902,1.64824,-0.392383,0.209464,-0.367334,-0.387882,-0.318976,-0.342965,-0.315409,-0.244539,-0.401053,-0.579818,-0.500316,-0.299039,0.0117143,0.302721,"5"
23,0.275486,-0.161541,-0.0460846,-0.242217,1.3327,-0.43686,1.48129,-0.356817,-1.92678,-0.937519,0.977062,-0.937519,0.571902,1.64824,-0.392383,0.209464,-0.367334,-0.387882,-0.318976,-0.342965,-0.315409,-0.244539,-0.401053,-0.579818,-0.500316,-0.299039,0.0117143,0.302721,"5"
35,0.275486,-0.925907,-0.0354901,-0.23134,1.3327,0.526217,-0.66647,1.18146,0.516326,1.06115,0.977062,1.06115,0.571902,-0.603581,-0.392383,0.798392,-0.367334,-0.387882,-0.318976,-0.342965,-0.0879394,-0.244539,-0.401053,-0.579818,-0.500316,-0.299039,0.0117143,0.927484,"5"
189,0.919394,-0.925907,-0.169074,0.399547,1.3327,-0.43686,-0.66647,-1.12596,0.516326,-0.937519,-1.0182,1.06115,-1.73954,-0.603581,-0.392383,-0.968392,-0.367334,-0.387882,-0.318976,-0.342965,-0.0879394,-0.244539,-0.401053,-0.579818,-0.500316,-0.299039,-1.12457,-0.946807,"6"
27,-0.368421,-0.925907,-0.271334,-0.155199,-0.0972986,-0.43686,0.622187,1.18146,0.516326,1.06115,0.977062,1.06115,0.571902,-0.603581,-0.392383,-0.968392,-0.367334,-0.387882,-0.318976,-0.342965,-0.0879394,-0.244539,-0.401053,1.71579,1.98843,-0.299039,1.148,-0.946807,"6"
27,-0.368421,-0.925907,-0.271334,-0.155199,-0.0972986,-0.43686,0.622187,1.18146,0.516326,1.06115,0.977062,1.06115,0.571902,-0.603581,-0.392383,-0.968392,-0.367334,-0.387882,-0.318976,-0.342965,-0.0879394,-0.244539,-0.401053,1.71579,1.98843,-0.299039,1.148,-0.946807,"6"
27,-0.368421,-0.925907,-0.271334,-0.155199,-0.0972986,-0.43686,0.622187,1.18146,0.516326,1.06115,0.977062,1.06115,0.571902,-0.603581,-0.392383,-0.968392,-0.367334,-0.387882,-0.318976,-0.342965,-0.0879394,-0.244539,-0.401053,1.71579,1.98843,-0.299039,1.148,-0.946807,"6"
27,-0.368421,-0.925907,-0.271334,-0.155199,-0.0972986,-0.43686,0.622187,1.18146,0.516326,1.06115,0.977062,1.06115,0.571902,-0.603581,-0.392383,-0.968392,-0.367334,-0.387882,-0.318976,-0.342965,-0.0879394,-0.244539,-0.401053,1.71579,1.98843,-0.299039,1.148,-0.946807,"6"
46,-0.368421,-0.925907,-0.263503,-0.0899344,-0.0972986,-0.43686,-0.66647,-0.356817,0.516326,-0.937519,0.977062,-0.937519,0.571902,-0.603581,-0.392383,1.38732,-0.367334,-0.387882,-0.318976,-0.342965,-0.315409,-0.244539,2.48059,-0.579818,-0.500316,-0.299039,1.148,-0.946807,"6"
189,0.919394,-0.925907,-0.169074,0.399547,1.3327,-0.43686,-0.66647,-1.12596,0.516326,-0.937519,-1.0182,1.06115,-1.73954,-0.603581,-0.392383,-0.968392,-0.367334,-0.387882,-0.318976,-0.342965,-0.0879394,-0.244539,-0.401053,-0.579818,-0.500316,-0.299039,-1.12457,-0.946807,"6"
46,-0.368421,-0.925907,-0.263503,-0.0899344,-0.0972986,-0.43686,-0.66647,-0.356817,0.516326,-0.937519,0.977062,-0.937519,0.571902,-0.603581,-0.392383,1.38732,-0.367334,-0.387882,-0.318976,-0.342965,-0.315409,-0.244539,2.48059,-0.579818,-0.500316,-0.299039,1.148,-0.946807,"6"
46,-0.368421,-0.925907,-0.263503,-0.0899344,-0.0972986,-0.43686,-0.66647,-0.356817,0.516326,-0.937519,0.977062,-0.937519,0.571902,-0.603581,-0.392383,1.38732,-0.367334,-0.387882,-0.318976,-0.342965,-0.315409,-0.244539,2.48059,-0.579818,-0.500316,-0.299039,1.148,-0.946807,"6"
85,0.919394,-0.925907,-0.122089,-0.100812,0.760698,-0.43686,0.622187,0.412322,0.516326,1.06115,-1.0182,-0.937519,0.571902,1.64824,-0.392383,-0.968392,-0.367334,-0.387882,-0.318976,-0.342965,0.367,-0.244539,-0.401053,-0.579818,-0.500316,-0.299039,-1.12457,2.17701,"2"
106,0.919394,-0.925907,-0.169074,-0.111689,1.3327,-0.43686,5.34726,0.412322,0.516326,-0.937519,0.977062,1.06115,0.571902,-0.603581,-0.392383,-0.968392,-0.367334,-0.387882,-0.318976,1.95135,-0.0879394,4.06824,-0.401053,-0.579818,-0.500316,-0.299039,0.0117143,1.55225,"2"
85,0.919394,-0.925907,-0.122089,-0.100812,0.760698,-0.43686,0.622187,0.412322,0.516326,1.06115,-1.0182,-0.937519,0.571902,1.64824,-0.392383,-0.968392,-0.367334,-0.387882,-0.318976,-0.342965,0.367,-0.244539,-0.401053,-0.579818,-0.500316,-0.299039,-1.12457,2.17701,"2"
176,0.919394,-0.925907,0.0372899,0.236386,1.0467,-0.43686,-0.66647,-1.12596,0.516326,-0.937519,-1.0182,-0.937519,0.571902,-0.603581,-0.392383,-0.968392,-0.367334,-0.387882,-0.318976,-0.342965,-0.0879394,4.06824,-0.401053,-0.579818,-0.500316,-0.299039,-1.12457,-0.946807,"2"
1,0.919394,-0.925907,-0.0239743,-0.0790571,1.3327,-0.43686,0.622187,1.18146,0.516326,1.06115,-1.0182,1.06115,0.571902,1.64824,-0.392383,-0.379464,-0.367334,-0.387882,-0.318976,-0.342965,-0.0879394,-0.244539,-0.401053,1.71579,-0.500316,-0.299039,1.71614,-0.322043,"2"
3,0.275486,-0.925907,0.777526,-0.0355477,0.760698,1.48929,-0.66647,-0.356817,0.516326,1.06115,-1.0182,-0.937519,0.571902,-0.603581,-0.392383,-0.379464,-0.367334,-0.387882,-0.318976,-0.342965,-0.0879394,4.06824,-0.401053,-0.579818,-0.500316,-0.299039,-0.556429,1.55225,"2"
6,0.275486,-0.161541,0.251945,-0.176953,1.3327,-0.43686,0.192634,-0.356817,0.516326,-0.937519,-1.0182,1.06115,-1.73954,1.64824,-0.392383,-0.968392,-0.367334,-0.387882,-0.318976,-0.342965,-0.0879394,-0.244539,-0.401053,1.71579,-0.500316,-0.299039,-1.12457,2.17701,"5"
11,1.5633,-0.161541,3.2198,-0.0899344,-1.24129,-0.43686,-0.66647,-0.356817,0.516326,-0.937519,0.977062,-0.937519,0.571902,-0.603581,-0.392383,0.209464,-0.367334,2.20691,3.11887,1.95135,1.04941,-0.244539,-0.401053,-0.579818,-0.500316,-0.299039,1.148,0.302721,"1"
25,-1.65624,1.36719,-0.322464,-0.253095,-1.24129,-0.43686,-0.66647,1.9506,0.516326,1.06115,0.977062,1.06115,0.571902,-0.603581,2.5354,0.209464,-0.367334,2.20691,3.11887,1.95135,-0.315409,-0.244539,-0.401053,1.71579,1.98843,3.32681,1.148,0.302721,"1"
34,-1.65624,1.36719,-0.322464,-0.253095,-1.24129,-0.43686,-0.66647,1.9506,0.516326,1.06115,0.977062,1.06115,0.571902,-0.603581,2.5354,0.209464,1.79214,2.20691,3.11887,1.95135,0.59447,-0.244539,-0.401053,1.71579,1.98843,3.32681,1.148,0.302721,"1"
43,-1.65624,1.36719,-0.298972,-0.23134,-0.955295,-0.43686,1.48129,-0.356817,0.516326,-0.937519,0.977062,-0.937519,0.571902,-0.603581,-0.392383,0.209464,-0.367334,-0.387882,-0.318976,-0.342965,-0.315409,-0.244539,-0.401053,-0.579818,-0.500316,-0.299039,0.0117143,0.302721,"0"
44,-1.65624,1.36719,-0.269491,-0.144321,-0.955295,-0.43686,1.48129,-0.356817,0.516326,-0.937519,0.977062,-0.937519,0.571902,-0.603581,-0.392383,0.209464,-0.367334,-0.387882,-0.318976,-0.342965,-0.0879394,-0.244539,2.48059,-0.579818,-0.500316,-0.299039,0.0117143,0.302721,"6"
51,-1.01233,0.602825,-0.191644,-0.166076,-0.955295,-0.43686,0.622187,-0.356817,0.516326,-0.937519,0.977062,1.06115,-1.73954,-0.603581,-0.392383,0.798392,-0.367334,-0.387882,-0.318976,-0.342965,-0.315409,-0.244539,-0.401053,-0.579818,-0.500316,-0.299039,0.579858,-0.946807,"0"
57,-1.01233,0.602825,-0.316937,-0.253095,-1.24129,-0.43686,-0.66647,1.9506,0.516326,1.06115,0.977062,1.06115,0.571902,-0.603581,-0.392383,0.209464,1.79214,2.20691,3.11887,1.95135,-0.315409,-0.244539,-0.401053,1.71579,1.98843,3.32681,1.148,0.302721,"1"
64,0.275486,1.36719,-0.317858,-0.242217,-1.24129,-0.43686,1.48129,0.412322,0.516326,1.06115,0.977062,-0.937519,0.571902,-0.603581,-0.392383,-0.968392,-0.367334,-0.387882,-0.318976,-0.342965,-0.315409,-0.244539,-0.401053,-0.579818,-0.500316,-0.299039,-1.12457,-0.322043,"5"
75,0.275486,1.36719,-0.305881,-0.242217,0.1887,0.526217,0.192634,0.412322,0.516326,1.06115,-1.0182,1.06115,-1.73954,1.64824,-0.392383,0.798392,-0.367334,-0.387882,-0.318976,-0.342965,-0.0879394,-0.244539,-0.401053,-0.579818,-0.500316,-0.299039,-1.12457,-0.322043,"5"
81,-0.368421,1.36719,-0.275019,-0.253095,0.1887,-0.43686,-0.66647,-0.356817,0.516326,-0.937519,0.977062,-0.937519,0.571902,-0.603581,-0.392383,0.209464,-0.367334,2.20691,-0.318976,-0.342965,-0.315409,-0.244539,-0.401053,-0.579818,-0.500316,-0.299039,0.0117143,0.302721,"1"
86,-0.368421,1.36719,-0.29022,-0.220463,-1.24129,2.45237,-0.66647,-0.356817,-1.92678,1.06115,-1.0182,-0.937519,0.571902,-0.603581,2.5354,1.38732,-0.367334,-0.387882,-0.318976,-0.342965,-0.315409,-0.244539,-0.401053,-0.579818,-0.500316,-0.299039,-0.556429,2.80178,"0"
